,pais,anio,inversion
328,TLS,2019,-106.2797498
329,TON,2019,1.742414
330,trinidad_tobago,2019,183.9727653
331,TUN,2019,844.7969335132
332,TUR,2019,
333,UGA,2019,1273.609177
334,UKR,2019,6017.0
335,emiratos_arabes_unidos,2019,17874.6594005
336,GBR,2019,53918.2712251658
337,estados_unidos,2019,229929.0
338,URY,2019,2017.6810442
339,VEN,2019,-1278.0
340,VNM,2019,16120.0
341,YEM,2019,-370.9827777
342,ZMB,2019,859.8209279
343,ZWE,2019,280.0
344,AFG,2020,12.970148
345,ALB,2020,1108.1591673843
346,DZA,2020,1142.64069
347,AGO,2020,-1866.4681131
348,ARG,2020,4722.6488131
349,ARM,2020,58.5827501
350,ABW,2020,137.183472067
351,AUS,2020,13582.8255057344
352,AUT,2020,-9351.4194625736
353,AZE,2020,507.0
354,BHS,2020,896.7839201
355,BHR,2020,1021.3829787234
356,BGD,2020,2563.58
357,BRB,2020,262.1
358,BLR,2020,1398.4
359,BEL,2020,6805.2075028612
360,BLZ,2020,76.2028135
361,BEN,2020,174.0199519567
362,BMU,2020,111.935757
363,BOL,2020,-1129.4872713
364,bosnia_herzegovina,2020,429.046999862
365,BWA,2020,31.8071952391
366,BRA,2020,28318.4513242
367,VGB,2020,39619.63521
368,brunei_darussalam,2020,577.4431163808
369,BGR,2020,3397.0831602525
370,BFA,2020,-102.2436256073
371,BDI,2020,8.7221191164
372,CPV,2020,67.8999101541
373,KHM,2020,3624.6449901
374,CMR,2020,675.1869937
375,CAN,2020,26884.3301249
376,CYM,2020,23621.0494316
377,CAF,2020,1.7373598234
378,TCD,2020,557.6925033123
379,CHL,2020,10832.5614959
380,CHN,2020,149342.26
381,china_rae_de_hong_kong,2020,134709.8520738664
382,china_rae_de_macao,2020,-6980.4189778475
383,china_provincia_de_taiwan,2020,6053.0
384,COL,2020,7458.62498
385,congo,2020,4015.5314509042
386,COK,2020,5.3165523
387,CRI,2020,1762.6553921
388,cote_divoire,2020,712.9158938811
389,HRV,2020,146.3506659151
390,CWU,2020,155.743256257
391,CYP,2020,-24450.8417723008
392,czechia,2020,9411.4762128585
393,checoslovaquia,2020,
394,rep_dem_del_congo,2020,1646.9210563
395,DNK,2020,1685.2252897823
396,DOM,2020,2559.6
397,ECU,2020,1094.6859008
398,EGY,2020,5851.8
399,SLV,2020,293.44233
400,GNQ,2020,410.0169183231
401,EST,2020,3419.3445516079
402,FJI,2020,240.6394304698
403,FIN,2020,-1578.5157383273
404,FRA,2020,11359.1454541716
405,polinesia_frances,2020,-15.5476129028
406,GAB,2020,1716.5115055221
407,GMB,2020,189.9
408,GEO,2020,589.79809
409,DEU,2020,56204.0739869287
410,GHA,2020,1333.37
411,GRC,2020,3212.5060193762
412,GTM,2020,934.87964
413,GIN,2020,176.35
414,guinea_bissau,2020,20.9897215969
415,guayana,2020,2085.89437
416,HTI,2020,25.0
417,HND,2020,418.6
418,HUN,2020,7046.7195910922
419,ISL,2020,-927.8202006485
420,IND,2020,64072.2384930738
421,IDN,2020,18590.96
422,IRN,2020,1342.0
423,IRQ,2020,-2859.1
424,IRL,2020,76571.7196683975
425,ISR,2020,23109.378
426,ITA,2020,-23621.7684401934
427,JAM,2020,265.1005536
428,JPN,2020,10702.5667680909
429,JOR,2020,760.2816901408
430,KAZ,2020,3669.6427651
431,KEN,2020,716.7562236
432,KIR,2020,2.6240928
433,rep_de_corea,2020,8764.9
434,KWT,2020,239.6867744495
435,KGZ,2020,-401.5
436,lao,2020,967.7060862
437,LVA,2020,1005.1330316411
438,LBN,2020,1606.8947219
439,LBR,2020,86.96
440,LBY,2020,
441,LTU,2020,3518.3311136646
442,LUX,2020,9838.8817438144
443,MDG,2020,358.4671414
444,MWI,2020,252.1790402
445,MYS,2020,3159.5148974112
446,MLI,2020,536.8518124411
447,MLT,2020,3921.4237252515
448,MRT,2020,954.8425755274
449,MUS,2020,224.6680827703
450,mejico,2020,28195.14663
451,MNG,2020,1719.12
452,MNE,2020,532.2844960514
453,MAR,2020,1419.2078697277
454,MOZ,2020,3034.5620562
455,NAM,2020,-146.4870553335
456,NLD,2020,-86507.0566506683
457,antillas_holandesas,2020,
458,NCL,2020,571.7281290163
459,NZL,2020,3886.3648449021
460,NIC,2020,746.5
461,NER,2020,360.6535742647
462,NGA,2020,2385.2776659
463,NOR,2020,-8228.6930959799
464,OMN,2020,2889.466840052
465,PAK,2020,2057.0
466,PAN,2020,149.9502883
467,PNG,2020,111.7676028779
468,PRY,2020,110.0731275
469,PER,2020,-416.5735892
470,PHL,2020,6822.13329
471,POL,2020,15195.4411343109
472,PRT,2020,7683.3262882265
473,katar,2020,-2434.0659341
474,republica_de_moldova,2020,150.12
475,ROU,2020,3432.3008637291
476,federacion_rusa,2020,10409.86811
477,RWA,2020,274.1226086
478,santo_tome_principe,2020,31.9548582
479,SAU,2020,5399.1570396
480,SEN,2020,1845.6638812822
481,SRB,2020,3863.3484750533
482,serbia_montenegro,2020,
483,SYC,2020,164.5361902
484,SLE,2020,173.0
485,SGP,2020,72902.6876039144
486,SMX,2020,22.1674600559
487,SVK,2020,-2403.5431693215
488,SVN,2020,219.9992004624
489,SLB,2020,9.1334703612
490,ZAF,2020,3062.2564228128
491,espanna,2020,17948.1008696685
492,LKA,2020,434.0756685
493,estado_de_palestina,2020,79.7449923
494,SUR,2020,0.3488434
495,SWZ,2020,35.8862050535
496,SWE,2020,21514.1533253662
497,CHE,2020,-50251.7302455363
498,THA,2020,-4950.9983569
499,tfyr_de_macedonia,2020,230.0606563519
500,TLS,2020,-804.7964807
501,TON,2020,4.2263883
502,trinidad_tobago,2020,1055.7884544
503,TUN,2020,652.1218137947
504,TUR,2020,
505,UGA,2020,873.7697904
506,UKR,2020,-36.0
507,emiratos_arabes_unidos,2020,19884.4686649
508,GBR,2020,58237.1794871795
509,estados_unidos,2020,95882.0
510,URY,2020,753.2187613
511,VEN,2020,-456.0
512,VNM,2020,15800.0
513,YEM,2020,
514,ZMB,2020,245.2054914
515,ZWE,2020,194.0
516,AFG,2021,20.6009761
517,ALB,2021,1233.9176859919
518,DZA,2021,869.65657
519,AGO,2021,-4355.1165527
520,ARG,2021,6782.3488872
521,ARM,2021,366.4452148
522,ABW,2021,143.047538324
523,AUS,2021,20898.8119204582
524,AUT,2021,13493.6483416795
525,AZE,2021,-1707.7
526,BHS,2021,1185.0
527,BHR,2021,1779.1755319149
528,BGD,2021,2895.56
529,BRB,2021,238.7350643
530,BLR,2021,1238.41386
531,BEL,2021,11587.3087212919
532,BLZ,2021,125.495495
533,BEN,2021,345.9852355953
534,BMU,2021,1.5314229
535,BOL,2021,583.5764247
536,bosnia_herzegovina,2021,587.3158814131
537,BWA,2021,-318.8719495569
538,BRA,2021,50651.1702806
539,VGB,2021,39361.4984103
540,brunei_darussalam,2021,204.7493272471
541,BGR,2021,1892.4481095076
542,BFA,2021,-79.9573553438
543,BDI,2021,9.9335399547
544,CPV,2021,104.2537361546
545,KHM,2021,3483.4616057
546,CMR,2021,963.5315035
547,CAN,2021,65658.7528122774
548,CYM,2021,25893.0892074
549,CAF,2021,5.4099802504
550,TCD,2021,705.1007593043
551,CHL,2021,13193.9758052
552,CHN,2021,180957.2149443
553,china_rae_de_hong_kong,2021,140186.022577429
554,china_rae_de_macao,2021,4771.0758010836
555,china_provincia_de_taiwan,2021,5416.0
556,COL,2021,9381.29061
557,congo,2021,531.9813912909
558,COK,2021,-2.2084299
559,CRI,2021,3231.0517604
560,cote_divoire,2021,1376.5587990241
561,HRV,2021,4427.4224181366
562,CWU,2021,145.7004006704
563,CYP,2021,-35743.7630167689
